FRAME_NUMBER,TIME_FPS,TIME_PROCESS,TIME_PHYSICS_PROCESS,MEMORY_STATIC,MEMORY_DYNAMIC,MEMORY_STATIC_MAX,MEMORY_DYNAMIC_MAX,MEMORY_MESSAGE_BUFFER_MAX,OBJECT_COUNT,OBJECT_RESOURCE_COUNT,OBJECT_NODE_COUNT,OBJECT_ORPHAN_NODE_COUNT,RENDER_OBJECTS_IN_FRAME,RENDER_VERTICES_IN_FRAME,RENDER_MATERIAL_CHANGES_IN_FRAME,RENDER_SHADER_CHANGES_IN_FRAME,RENDER_SURFACE_CHANGES_IN_FRAME,RENDER_DRAW_CALLS_IN_FRAME,RENDER_2D_ITEMS_IN_FRAME,RENDER_2D_DRAW_CALLS_IN_FRAME,RENDER_VIDEO_MEM_USED,RENDER_TEXTURE_MEM_USED,RENDER_VERTEX_MEM_USED,RENDER_USAGE_VIDEO_MEM_TOTAL,PHYSICS_2D_ACTIVE_OBJECTS,PHYSICS_2D_COLLISION_PAIRS,PHYSICS_2D_ISLAND_COUNT,PHYSICS_3D_ACTIVE_OBJECTS,PHYSICS_3D_COLLISION_PAIRS,PHYSICS_3D_ISLAND_COUNT,AUDIO_OUTPUT_LATENCY,
32,54,0,0,52603784,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13328,9,0,0,0,0,
33,54,0,0,52604224,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13329,9,0,0,0,0,
34,54,0,0,52603712,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13329,9,0,0,0,0,
35,54,0,0,52604792,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13330,9,0,0,0,0,
36,54,0,0,52604352,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13329,9,0,0,0,0,
37,54,0,0,52613840,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13329,9,0,0,0,0,
38,54,0,0,52609296,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13327,9,0,0,0,0,
39,54,0,0,52609192,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13328,9,0,0,0,0,
40,54,0,0,52619960,2622840,53544088,6464844,3600,1716,229,484,0,0,0,0,0,0,0,26,40,11122692,11122692,0,0,9,13330,9,0,0,0,0,
41,54,0,0,52759984,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,40,11253764,11253764,0,0,9,13328,9,0,0,0,0,
42,54,0,0,52760864,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,26,40,11253764,11253764,0,0,9,13330,9,0,0,0,0,
43,54,0,0,52760608,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13330,9,0,0,0,0,
44,54,0,0,52760920,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13331,9,0,0,0,0,
45,60,0,0,52761744,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13332,9,0,0,0,0,
46,60,0,0,52760864,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13330,9,0,0,0,0,
47,60,0,0,52760280,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
48,60,0,0,52753928,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
49,60,0,0,52744584,2753912,53544088,6464844,3600,1717,229,484,0,0,0,0,0,0,0,28,44,11253764,11253764,0,0,9,13329,9,0,0,0,0,
